id;price;currency;condition;Marca;Puertas;Tipo de combustible;Kilómetros;Modelo;Versión;Año;adressstate_name;adresscity_name;Motor;Transmisión
174899;5871109;ARS;used;Dodge;5;Nafta;46042;Journey;2.4 Sxt 170cv (techo, Dvd, Nav);2018;Capital Federal;Capital Federal;2.4;Automática
182862;2502861;ARS;used;Citroën;3;Diesel;99772;Berlingo;1.6 Hdi 92 Bussines Mixto;2017;Capital Federal;Capital Federal;1.6;Manual
185652;1871718;ARS;used;Citroën;5;Nafta;32000;C3;1.6 Exclusive Pack Myway Vti 115cv;2013;Capital Federal;Capital Federal;1.6;Manual
184180;1850804;ARS;used;Citroën;5;Nafta;92390;C3;1.6 Exclusive Vti 115cv;2013;Capital Federal;Capital Federal;1.6;Manual
183718;1870391;ARS;used;Citroën;5;Nafta;93065;C3;1.6 Exclusive Vti 115cv;2013;Capital Federal;Capital Federal;1.6;Manual
166387;1959689;ARS;used;Citroën;5;Nafta;53824;C3;1.5 I 90cv Tendance Pack Secure;2015;Capital Federal;Capital Federal;1.5;Manual
180854;3096318;ARS;used;Citroën;5;Nafta;23237;C3;1.6 Vti 115 At6 Shine;2018;Capital Federal;Capital Federal;1.6;Automática
183194;2107235;ARS;used;Citroën;4;Nafta;99603;C4;1.6 Tendance At6 Thp;2014;Capital Federal;Capital Federal;1.6;Automática
182887;1741201;ARS;used;Citroën;5;Nafta;69862;C4;1.6 X Pack Plus;2014;Capital Federal;Capital Federal;1.6;Manual
184946;2721903;ARS;used;Citroën;4;Nafta;90099;C4;1.6 Thp 165 At6 Feel;2017;Capital Federal;Capital Federal;1.6;Automática
170234;3020476;ARS;used;Citroën;4;Nafta;67000;C4;1.6 Thp 165 At6 Shine;2018;Capital Federal;Capital Federal;1.6;Automática
182733;3153395;ARS;used;Citroën;4;Diesel;;C4;1.6 Hdi 115 Feel Pack;2018;Capital Federal;Capital Federal;1.6;Manual
148235;3081522;ARS;used;Citroën;5;Nafta;74303;C4 Cactus;1.2 Puretech 110 At6 S&s Shine;2017;Capital Federal;Capital Federal;1.2;Automática
166835;3160253;ARS;used;Citroën;5;Nafta;60505;C4 Cactus;1.6 Vti 115 Feel;2019;Capital Federal;Capital Federal;1.6;Manual
143434;2127930;ARS;used;Citroën;3;Nafta;86319;DS3;1.6 Thp 156 Sport Chic;2012;Capital Federal;Capital Federal;1.6;Manual
180022;4572262;ARS;used;Fiat;3;Nafta;26365;500;1.4 Lounge 105cv Serie4;2018;Capital Federal;Capital Federal;1.4;Automática
164419;3905438;ARS;used;Fiat;3;Nafta;8812;500;1.4 Sport 105cv Serie4;2019;Capital Federal;Capital Federal;1.4;Manual
181808;4432431;ARS;used;Fiat;5;Nafta;20497;500X;1.4 Pop Star;2019;Capital Federal;Capital Federal;1.4;Manual
173782;2859993;ARS;used;Fiat;4;Nafta;39857;Cronos;1.8 16v Precision At6;2018;Capital Federal;Capital Federal;1.8;Automática
182732;3120702;ARS;used;Fiat;4;Nafta;;Cronos;1.8 16v Precision At6;2020;Capital Federal;Capital Federal;1.8;Automática
162600;3098885;ARS;used;Fiat;4;Nafta;3000;Cronos;1.8 16v Precision;2021;Capital Federal;Capital Federal;1.8;Manual
183162;1900057;ARS;used;Fiat;5;Nafta;37874;Idea;1.4 Attractive 82cv Abs Abcp;2016;Capital Federal;Capital Federal;1.4;Manual
166896;1743516;ARS;used;Fiat;5;Nafta;72000;Mobi;1.0 Easy Pack Top;2017;Capital Federal;Capital Federal;1;Manual
182198;1445807;ARS;used;Fiat;5;Nafta;82212;Palio;1.6 Adventure Etorque;2011;Capital Federal;Capital Federal;1.6;Manual
172763;1474918;ARS;used;Fiat;5;Nafta;91350;Palio;1.4 Weekend Attractive Pk Seguridad;2013;Capital Federal;Capital Federal;1.4;Manual
183930;1533891;ARS;used;Fiat;5;Nafta;66221;Palio;1.4 Attractive 85cv C/pack Seguridad;2014;Capital Federal;Capital Federal;1.4;Manual
179569;1248821;ARS;used;Fiat;5;Nafta;42254;Palio;1.4 Fire;2014;Capital Federal;Capital Federal;1.4;Manual
