precio;currency;localidad;provincia;km;year;marca;title;fecha_visto;modelo
3100000;$;Córdoba;Córdoba;1;2022;fiat;Fiat Cronos Precision 1.8 Mt;26/2/2022;Cronos
4790000;$;Capital Federal;Capital Federal;3;2021;peugeot;Peugeot 208 1.6 Feline Tiptronic;26/2/2022;208
4790000;$;Capital Federal;Capital Federal;3;2021;peugeot;Peugeot 208 1.6 Feline Tiptronic;28/2/2022;208
4790000;$;Capital Federal;Capital Federal;3;2021;peugeot;Peugeot 208 1.6 Feline Tiptronic;1/3/2022;208
4100000;$;Lanús;Bs.As. G.B.A. Sur;80;2022;chevrolet;Chevrolet Onix 1.0 T Premier;28/2/2022;Onix
4100000;$;Lanús;Bs.As. G.B.A. Sur;80;2022;chevrolet;Chevrolet Onix 1.0 T Premier;1/3/2022;Onix
3500000;$;Tigre;Bs.As. G.B.A. Norte;500;2021;volkswagen;Volkswagen Virtus 1.6 Msi Trendline;26/2/2022;Virtus
2418500;$;Tigre;Bs.As. G.B.A. Norte;500;2021;renault;Renault Sandero 1.6 16v Life;26/2/2022;Sandero
2418500;$;Capital Federal;Capital Federal;500;2021;renault;Renault Sandero 1.6 16v Life;26/2/2022;Sandero
3689000;$;Avellaneda;Bs.As. G.B.A. Sur;500;2021;renault;Renault Kangoo Ii Express Confort 1.6 Sce;26/2/2022;Kangoo
2649000;$;Capital Federal;Capital Federal;500;2021;renault;Renault Logan 1.6 16v Intense;26/2/2022;Logan
3099900;$;Tres de febrero;Bs.As. G.B.A. Oeste;500;2019;peugeot;Peugeot 208 1.6 Feline;26/2/2022;208
3099901;$;Tres de febrero;Bs.As. G.B.A. Oeste;500;2019;peugeot;Peugeot 208 1.6 Feline;26/2/2022;208
3099902;$;La Matanza;Bs.As. G.B.A. Oeste;500;2019;peugeot;Peugeot 208 1.6 Feline;26/2/2022;208
3099903;$;Capital Federal;Capital Federal;500;2019;peugeot;Peugeot 208 1.6 Feline;26/2/2022;208
3099904;$;Capital Federal;Capital Federal;500;2019;peugeot;Peugeot 208 1.6 Feline;26/2/2022;208
3855000;$;Capital Federal;Capital Federal;500;2021;peugeot;Peugeot 208 1.6 Feline Tiptronic;26/2/2022;208
3292000;$;Capital Federal;Capital Federal;500;2021;peugeot;Peugeot 208 1.6 Allure Nav Tiptronic;26/2/2022;208
2295002;$;Tres de febrero;Bs.As. G.B.A. Oeste;500;2018;peugeot;Peugeot 301 1.6 Allure;26/2/2022;301
2295001;$;La Matanza;Bs.As. G.B.A. Oeste;500;2018;peugeot;Peugeot 301 1.6 Allure;26/2/2022;301
2799001;$;La Matanza;Bs.As. G.B.A. Oeste;500;2019;peugeot;Peugeot 301 1.6 Hdi Allure;26/2/2022;301
2798999;$;Capital Federal;Capital Federal;500;2019;peugeot;Peugeot 301 1.6 Hdi Allure;26/2/2022;301
2295003;$;Capital Federal;Capital Federal;500;2018;peugeot;Peugeot 301 1.6 Allure;26/2/2022;301
2799002;$;Tres de febrero;Bs.As. G.B.A. Oeste;500;2019;peugeot;Peugeot 301 1.6 Hdi Allure;26/2/2022;301
7399000;$;Avellaneda;Bs.As. G.B.A. Sur;500;2022;toyota;Toyota Hilux 2.8 177cv Srv 4x2;26/2/2022;Hilux
8750000;$;Capital Federal;Capital Federal;500;2022;toyota;Toyota Hilux Srv 4x4 At;26/2/2022;Hilux
6000000;$;Capital Federal;Capital Federal;500;2022;toyota;Toyota Corolla Cross Xli;26/2/2022;Corolla Cross
3547000;$;San Miguel;Bs.As. G.B.A. Norte;500;2022;toyota;Toyota Etios Xls Pack 1.5 4a/t 5p;26/2/2022;Etios
7000000;$;Capital Federal;Capital Federal;500;2022;toyota;Toyota Hilux 4x4 Dc Dx 2.4;26/2/2022;Hilux
9900000;$;Capital Federal;Capital Federal;500;2022;toyota;Toyota Hilux Srv Full 4x4 Diesel;26/2/2022;Hilux
5950000;$;Pilar;Bs.As. G.B.A. Norte;500;2021;toyota;Toyota Corolla 1.8 Se-g Cvt 140cv;26/2/2022;Corolla
6500000;$;Avellaneda;Bs.As. G.B.A. Sur;500;2022;toyota;Toyota Corolla Seg Híbrido;26/2/2022;Corolla
